"1","На гладком горизонтальном столе покоится брусок с прикреплённой к нему гладкой изогнутой в вертикальной плоскости тонкой жёсткой трубкой (см. рис.). Общая масса бруска с трубкой равна M = 0,8 кг. В верхний конец вертикальной части трубки, находящийся на высоте H = 70 см над бруском, опускают без начальной скорости маленький шарик массой m = 50 г. Другой конец трубки наклонён к горизонту под углом α = 30° и находится на высоте h = 20 см над бруском. Найдите модуль скорости, с которой будет двигаться брусок после того, как шарик вылетит из трубки. \n  Какие законы Вы используете для описания движения и взаимодействия трубки и шарика? Обоснуйте их применение к данному случаю."
"1","Лодка должна попасть на противоположный берег реки по кратчайшему пути в системе отсчета, связанной с берегом. Скорость течения реки u, а скорость лодки относительно воды \upsilon . Чему должен быть равен модуль скорости лодки относительно берега?"
"1","Автобус везёт пассажиров по прямой дороге со скоростью 10 м/с. Пассажир равномерно идёт по салону автобуса со скоростью 1 м/с относительно автобуса, двигаясь от задней двери к кабине водителя. Чему равен модуль скорости пассажира относительно дороги? (Ответ дайте в метрах в секунду.)"
"1","Два камня одновременно бросили из одной точки: первый — вертикально вверх, второй — под углом 45° к горизонту. Сопротивление воздуха пренебрежимо мало. Как движется первый камень в системе отсчёта, связанной со вторым камнем?"
"1","Два камня одновременно бросили из одной точки: первый — вертикально вверх, второй — под углом 30° к горизонту. Сопротивление воздуха пренебрежимо мало. Как движется второй камень в системе отсчёта, связанной с первым камнем?"
"1","На гладком горизонтальном столе покоится брусок с прикреплённой к нему гладкой изогнутой в вертикальной плоскости тонкой жёсткой трубкой (см. рис.). Общая масса бруска с трубкой равна M = 0,8 кг. В верхний конец вертикальной части трубки, находящийся на высоте H = 70 см над бруском, опускают без начальной скорости маленький шарик массой m = 50 г. Другой конец трубки наклонён к горизонту под углом α = 30° и находится на высоте h = 20 см над бруском. Найдите модуль скорости, с которой будет двигаться брусок после того, как шарик вылетит из трубки."
"1","Мотоцикл едет по прямой дороге с постоянной скоростью 50 км/ч. По той же дороге навстречу ему едет автомобиль с постоянной скоростью 70 км/ч. Чему равен модуль скорости движения мотоцикла относительно автомобиля? (Ответ дайте в километрах в час.)"
"1","Мотоцикл едет по прямой дороге с постоянной скоростью 50 км/ч. По той же дороге в том же направлении едет автомобиль с постоянной скоростью 70 км/ч. Чему равен модуль скорости движения мотоцикла относительно автомобиля? (Ответ дайте в километрах в час.)"
"1","Маша взяла в руку монету и, стоя в комнате своей квартиры, выпустила её из пальцев без начальной скорости. Монета полетела вдоль вертикали и упала на пол комнаты. Затем Маша вышла из дома, села в подъехавший автобус и, дождавшись, пока он начнёт двигаться равномерно и прямолинейно по горизонтальной дороге, повторила опыт с бросанием монеты. Оказалось, что монета в равномерно движущемся автобусе падает точно так же, как и в квартире. Иллюстрацией какого закона или принципа может служить этот опыт?"
"1","Саша взял в руку монету и, стоя в равномерно движущемся вниз лифте, выпустил её из пальцев без начальной скорости. Монета полетела вдоль вертикали и упала на пол лифта. Затем Саша вышел из дома, сел в подъехавший автобус и, дождавшись, пока он начнёт двигаться равномерно и прямолинейно по горизонтальной дороге, повторил опыт с бросанием монеты. Оказалось, что монета в равномерно движущемся автобусе падает точно так же, как и в равномерно опускающемся лифте. Иллюстрацией какого закона или принципа может служить этот опыт?"
"1","Вертолет поднимается вертикально вверх. Какова траектория движения точки на конце лопасти винта вертолета в системе отсчета, связанной с винтом?"
"1","Два бруска массой m и 2m равномерно движутся вдоль прямой OX (см. рис.). В системе отсчёта, связанной с бруском "1", модуль импульса второго бруска равен"
"1","Два бруска массой m и 2m равномерно движутся вдоль прямой OX (см. рис.). В системе отсчёта, связанной с бруском 2, модуль импульса первого бруска равен"
"1","Школьник, возвращаясь домой с занятий по подготовке к ЕГЭ по физике, сел на вокзале в стоящую электричку. В это время пошёл сильный снег, и вдоль поезда начал дуть ветер с постоянной скоростью. При этом поток падающих за окном снежинок выглядел так, как показано на рис. 1. Потом поезд поехал, и после его разгона наблюдаемая через окно картина изменилась (см. рис. 2). Углы наклона к горизонту прямолинейных траекторий снежинок в первом и во втором случаях были равны  альфа = 45 градусов и  бета = 10 градусов. С какой скоростью ехал поезд, если снежинки падают в неподвижном воздухе со скоростью V = 1 м/с, электричка едет прямолинейно, а скорость и направление ветра не изменяются?"
"1","Из двух городов навстречу друг другу с постоянной скоростью движутся два автомобиля. На графике показано изменение расстояния между автомобилями с течением времени. Каков модуль скорости первого автомобиля в системе отсчёта, связанной со вторым автомобилем? Ответ приведите в метрах в секунду."
"1","Вертолет равномерно поднимается вертикально вверх. Какова траектория крайней точки лопасти вертолета в системе отсчета, связанной с корпусом вертолета?"
"1","На рисунке представлены графики зависимости давления p от глубины погружения h для двух покоящихся жидкостей: воды и тяжёлой жидкости дийодметана, при постоянной температуре."
"1","На покоящееся тело, находящееся на шероховатой горизонтальной плоскости, начинает действовать горизонтально направленная сила. Зависимость модуля этой силы F от времени t показана на рисунке "1". На рисунке 2 показана соответствующая зависимость модуля ускорения a этого тела от t."
